"customer_id","rfm_score","group_name","gender","age_category","job_industry_category","wealth_segment","owns_car","address","postcode","state","past_3_years_bike_related_purchases"
346,555,"01- Champions","Male","Middle adults","Financial Services","Mass Customer","No","44621 Linden Drive",2155,"NSW",68
946,555,"01- Champions","Female","Mature adults","Manufacturing","High Net Worth","No","93446 Eagle Crest Plaza",2229,"NSW",16
2029,554,"01- Champions","Male","Young adults","Manufacturing","Mass Customer","No","2 Thierer Place",4053,"QLD",10
1698,455,"01- Champions","Female","Middle adults","Health","Affluent Customer","Yes","1301 Northwestern Place",2117,"NSW",58
1461,445,"01- Champions","Male","Seniors","Retail","Mass Customer","Yes","3 Independence Hill",2560,"NSW",71
2454,455,"01- Champions","Female","Mature adults","Property","Mass Customer","Yes","15 Shelley Hill",2164,"NSW",81
2386,545,"01- Champions","Female","Young adults","Financial Services","Mass Customer","No","1 Nova Avenue",2200,"NSW",93
2301,545,"01- Champions","Male","Mature adults","Financial Services","Mass Customer","Yes","3242 Arizona Junction",4101,"QLD",66
724,455,"01- Champions","Male","Middle adults","Financial Services","Mass Customer","Yes","9 Bartelt Lane",2190,"NSW",7
1103,455,"01- Champions","Female","Middle adults","Financial Services","High Net Worth","Yes","258 Luster Court",2154,"NSW",76
2888,445,"01- Champions","Male","Mature adults","IT","High Net Worth","Yes","5674 Superior Point",2528,"NSW",37
796,544,"01- Champions","Female","Young adults","Financial Services","Mass Customer","No","414 Kensington Lane",3076,"VIC",8
2726,455,"01- Champions","Male","Middle adults","Financial Services","Affluent Customer","No","15776 Thackeray Alley",2261,"NSW",49
1194,454,"01- Champions","Female","Young adults","Telecommunications","Affluent Customer","No","261 Farmco Drive",4118,"QLD",69
2120,555,"01- Champions","Male","Young adults","Manufacturing","Mass Customer","No","35 Harbort Way",2446,"NSW",80
2729,545,"01- Champions","Female","Young adults","","Mass Customer","Yes","304 Moland Street",3810,"VIC",76
2057,445,"01- Champions","Female","Mature adults","Manufacturing","Affluent Customer","Yes","2807 Northwestern Pass",3182,"VIC",99
2103,555,"01- Champions","Male","Middle adults","Financial Services","Affluent Customer","No","Waubesa Alley",2265,"NSW",94
3258,455,"01- Champions","Female","Middle adults","Retail","Mass Customer","Yes","5 Stone Corner Parkway",2093,"NSW",77
2266,454,"01- Champions","Male","Young adults","Retail","High Net Worth","No","7037 North Park",2484,"NSW",74
2425,554,"01- Champions","Male","Middle adults","","Mass Customer","Yes","16 Dwight Court",2154,"NSW",32
1318,544,"01- Champions","Female","Mature adults","Financial Services","Mass Customer","Yes","889 Straubel Way",4055,"QLD",10
1970,554,"01- Champions","Male","Middle adults","Manufacturing","Mass Customer","No","5 Onsgard Plaza",3134,"VIC",51
1140,555,"01- Champions","Female","Middle adults","","Mass Customer","Yes","8587 Graceland Way",2206,"NSW",32
1483,454,"01- Champions","Female","Middle adults","Telecommunications","Mass Customer","Yes","941 La Follette Hill",2263,"NSW",55
1237,455,"01- Champions","Female","Middle adults","Health","High Net Worth","No","17357 Katie Center",3677,"VIC",6
2201,445,"01- Champions","Female","Young adults","Financial Services","Affluent Customer","Yes","11 Sage Place",4055,"QLD",56
500,454,"01- Champions","Male","Young adults","Retail","Affluent Customer","Yes","2639 Brown Road",3910,"VIC",19
