"first_name","last_name","gender","past_3_years_bike_related_purchases","dob","job_title","job_industry_category","wealth_segment","deceased_indicator","owns_car","tenure","address","postcode","state","country","property_valuation","Rank","Value","age","age_category"
"Thaxter","Kingsbury","Male",12,"1950-05-03","Product Engineer","Agriculture","Mass Customer","N","No",20,"3 Vermont Lane","2067","NSW","Australia","12","50","1.41",73,"Seniors"
"Briant","Ladley","Male",75,"1979-12-17","Recruiter","Agriculture","Mass Customer","N","No",12,"2 Schlimgen Terrace","2750","NSW","Australia","8","57","1.38",44,"Middle adults"
"Jedediah","Kedie","Male",31,"1971-12-29","Developer I","Agriculture","Mass Customer","N","Yes",9,"283 Acker Drive","2763","NSW","Australia","9","62","1.37",52,"Middle adults"
"Jamie","Jiruca","Female",21,"1963-06-16","Recruiting Manager","Agriculture","Mass Customer","N","No",18,"5013 Erie Crossing","2230","NSW","Australia","9","104","1.29",60,"Mature adults"
"Abner","Fraschetti","Male",33,"1986-01-23","Staff Scientist","Agriculture","Affluent Customer","N","No",13,"67 Northport Avenue","3805","VIC","Australia","7","166","1.18",37,"Middle adults"
"Ermentrude","Heindle","Female",47,"1969-08-02","GIS Technical Architect","Agriculture","Mass Customer","N","No",7,"307 Knutson Center","2226","NSW","Australia","10","191","1.15",54,"Middle adults"
"Shannen","Lewin","Female",21,"1991-06-07","Analog Circuit Design manager","Agriculture","High Net Worth","N","No",6,"29 Aberg Crossing","4210","QLD","Australia","6","259","1.06",32,"Young adults"
"Bartram","Di Lucia","Male",70,"1961-01-03",NULL,"Agriculture","Mass Customer","N","Yes",5,"83509 Delaware Street","2480","NSW","Australia","3","271","1.06",62,"Mature adults"
"Taber","Szymon","Male",70,"1947-04-22","Senior Sales Associate","Agriculture","Affluent Customer","N","No",13,"984 Del Sol Junction","4659","QLD","Australia","8","287","1.04",76,"Seniors"
"Ange","Chitham","Female",91,"1991-02-14",NULL,"Agriculture","Mass Customer","N","No",10,"00003 Hoffman Pass","2560","NSW","Australia","8","297","1.03",32,"Young adults"
"Delinda","Ech","Female",74,"1944-10-21","Environmental Specialist","Agriculture","Mass Customer","N","Yes",17,"28 Golf View Terrace","3101","VIC","Australia","10","349","0.99",79,"Seniors"
"Art","Shardlow","Male",57,"1963-10-15","Data Coordiator","Agriculture","Mass Customer","N","Yes",15,"7 Clemons Circle","4350","QLD","Australia","2","415","0.92",60,"Mature adults"
"Etan","Prinett","Male",97,"1970-01-21","Operator","Agriculture","Mass Customer","N","Yes",10,"9082 Waywood Avenue","2250","NSW","Australia","8","420","0.91",53,"Middle adults"
"Kipper","Circuit","Male",23,"1974-12-12","Research Assistant IV","Agriculture","Mass Customer","N","Yes",4,"3867 Barby Hill","2140","NSW","Australia","8","430","0.91",49,"Middle adults"
"Theresina",NULL,"Female",30,"1987-03-01","General Manager","Agriculture","Mass Customer","N","Yes",14,"253 Katie Junction","2650","NSW","Australia","2","441","0.90",36,"Middle adults"
"Norah","Mapis","Female",75,"2000-12-09","Assistant Manager","Agriculture","Mass Customer","N","No",10,"057 Victoria Crossing","2263","NSW","Australia","9","468","0.89",23,"Young adults"
"Cliff","Philipsson","Male",82,"1967-02-02","Structural Analysis Engineer","Agriculture","Mass Customer","N","No",16,"600 Artisan Drive","3149","VIC","Australia","10","500","0.86",56,"Mature adults"
"Bailey","Bereford","Male",44,"1950-09-30","Senior Sales Associate","Agriculture","Affluent Customer","N","Yes",11,"36 Golf Course Circle","2444","NSW","Australia","6","524","0.84",73,"Seniors"
"Jethro","Mertel","Male",16,"1978-12-10","Software Consultant","Agriculture","Mass Customer","N","Yes",15,"3460 Dapin Street","2262","NSW","Australia","6","536","0.83",45,"Middle adults"
"Austine","Speedy","Female",38,"1940-05-23","Software Engineer II","Agriculture","High Net Worth","N","Yes",14,"69 Sunfield Terrace","2558","NSW","Australia","8","646","0.73",83,"Seniors"
"Jacklin","Duchant","Female",77,"1940-03-18","Legal Assistant","Agriculture","Mass Customer","N","No",17,"9 Memorial Road","4132","QLD","Australia","4","939","0.47",83,"Seniors"
"Griswold","Kelsall","Male",55,"1993-12-19","Social Worker","Health","High Net Worth","N","Yes",11,"74127 Blaine Point","3805","VIC","Australia","7","52","1.39",30,"Young adults"
"Chickie","Brister","Male",86,"1957-07-12","General Manager","Manufacturing","Mass Customer","N","Yes",14,"45 Shopko Center","4500","QLD","Australia","6","1","1.72",66,"Seniors"
